SK_ID_CURR;PAYMENT_RATE;EXT_SOURCE_1;EXT_SOURCE_3;EXT_SOURCE_2;DAYS_BIRTH;AMT_ANNUITY;DAYS_EMPLOYED;INSTAL_DAYS_ENTRY_PAYMENT_MAX;ACTIVE_DAYS_CREDIT_MAX;APPROVED_CNT_PAYMENT_MEAN;PREV_CNT_PAYMENT_MEAN;INSTAL_DPD_MEAN;DAYS_ID_PUBLISH;INSTAL_AMT_PAYMENT_MIN;ANNUITY_INCOME_PERC;INSTAL_DAYS_ENTRY_PAYMENT_MEAN;DAYS_EMPLOYED_PERC;AMT_CREDIT;POS_MONTHS_BALANCE_SIZE;ACTIVE_DAYS_CREDIT_ENDDATE_MIN;AMT_GOODS_PRICE;BURO_AMT_CREDIT_MAX_OVERDUE_MEAN;INSTAL_AMT_PAYMENT_SUM;OWN_CAR_AGE;DAYS_REGISTRATION
271597;0.05;0.2577648050793276;0.7016957740576931;0.5786569382458528;-9780;12375.0;-745.0;-21.0;-425.4276400583754;11.0;11.0;0.0;-2471;5258.025;0.0916666666666666;-330.04761904761904;0.0761758691206544;247500.0;22.0;997.4778236986659;247500.0;5024.80580785629;161488.935;11.935569667230217;-2352.0
139452;0.0413916025730371;0.4078850078632046;0.4650692149562261;0.4523986173557773;-10301;44100.0;-2201.0;-843.0;-486.0;6.0;6.0;0.25;-2263;6955.065;0.245;-1231.0;0.2136685758664207;1065433.5;13.0;740.0;913500.0;12985.2675;324468.0;15.0;-635.0
435088;0.1076971780028943;0.5114609611727022;0.7544061731797895;0.6778526357211656;-10902;53581.5;-442.0;-69.0;-377.0;12.0;12.0;0.0;-3531;10298.61;0.3969;-228.0;0.0405430196294257;497520.0;13.0;997.4778236986659;450000.0;0.0;123420.285;11.935569667230217;-814.0
160902;0.0558359327715443;0.5114609611727022;0.8050196619153701;0.7017494020536573;-22144;53968.5;-5343.0;-31.0;-811.0;12.0;12.0;0.0;-4521;65865.69;0.1499125;-180.8181818181818;0.2412843208092485;966555.0;11.0;1015.0;913500.0;5024.80580785629;724522.5900000001;3.0;-2698.0
203655;0.032258834765998;0.5114609611727022;0.3539876078507373;0.4717953408841439;-23314;30397.5;-2438.111433881319;-60.0;-551.0;12.0;12.0;0.0;-5896;8266.185;0.5629166666666666;-186.5;0.15965404809605363;942300.0;9.0;907.0;675000.0;0.0;97765.11;11.935569667230217;-720.0
271040;0.0523566988950276;0.5114609611727022;0.646329897706246;0.5172867815436667;-20778;27292.5;-1269.0;-311.0;-138.0;10.0;10.0;0.0;-4045;17557.425;0.151625;-352.0;0.0610742131100202;521280.0;5.0;832.0;450000.0;5024.80580785629;166452.16499999998;8.0;-1204.0
385196;0.058125;0.5114609611727022;0.7503751495159068;0.7645472646060419;-17385;10462.5;-2506.0;-62.0;-24.0;11.0;11.0;0.0;-881;2682.9;0.11625;-1153.5555555555557;0.14414725337935;180000.0;19.0;160.0;180000.0;0.0;72164.97;11.935569667230217;-9589.0
153990;0.05;0.5114609611727022;0.5989262182569273;0.4121514982928635;-11569;12375.0;-3634.0;-59.0;-138.0;6.0;6.0;0.0;-3662;24371.505;0.0611111111111111;-135.16666666666666;0.3141153081510934;247500.0;7.0;410.0;270000.0;0.0;146251.305;11.935569667230217;-2514.0
189228;0.0440426744848929;0.5114609611727022;0.5209728023906156;0.6266815774509935;-23139;12168.0;-2438.111433881319;-327.4202856331884;-1455.0;13.564952534417113;14.460984794930921;1.0412915515053063;-4379;5308.9662618204675;0.2458181818181818;-928.8026798465575;0.15965404809605363;276277.5;29.774226071123586;-715.0;238500.0;5024.80580785629;685246.867109235;11.935569667230217;-8340.0
249580;0.0482666124324591;0.5114609611727022;0.5585066276769286;0.2569916688226694;-19424;39514.5;-3219.0;-37.0;-245.0;20.75;22.444444444444443;0.3559322033898305;-2969;23.175;0.1688653846153846;-782.5593220338983;0.1657228171334431;818671.5;63.0;120.0;661500.0;0.0;3315708.135;11.935569667230217;-3874.0
